# vLLM ladder template for Spark0 (Ling/Qwen target-only + paired Qwen DFlash).
# Pinned ordering mirrors docs/upstream-qwen-dflash.md (2026-05-12 UTC).
#
# Usage:
#   BUNDLE_LABEL=ling-qwen-ladder \
#   PROMPT='Explain Redis streams in one paragraph.' \
#   MAX_TOKENS=64 TENSOR_PARALLEL_SIZE=1 \
#   SMOKE_EVAL=1 SMOKE_MAX_TOKENS_PER_TASK=64 \
#   ALLOW_RUN=1 ALLOW_FETCH=0 \
#   scripts/run_baseline_vllm_matrix_bundle.sh spark0@aitopatom-9ab9.local fixtures/baseline/vllm_ling_qwen_dflash_ladder_spark0.tsv
#
# Replace all /ABS/PATH/ON/SPARK0 entries with real staged paths on Spark0.
# Keep prompt/context/token settings constant across the ladder.

run_label	scope_target	scope_dflash	target_id	target_model_dir	draft_model_dir	public_quality_prior	public_quality_basis	public_quality_source

# Ling: target-only first (after any Ling result, ensure this row exists).
ling26-flash-int4	ling_target		inclusionAI/Ling-2.6-flash-int4	/ABS/PATH/ON/SPARK0/inclusionAI/Ling-2.6-flash-int4			

# Cheap paired DFlash plumbing (use when 27B artifacts are not staged).
qwen35-4b	qwen_target	qwen_dflash	Qwen/Qwen3.5-4B	/ABS/PATH/ON/SPARK0/Qwen/Qwen3.5-4B	/ABS/PATH/ON/SPARK0/z-lab/Qwen3.5-4B-DFlash			
qwen35-9b	qwen_target	qwen_dflash	Qwen/Qwen3.5-9B	/ABS/PATH/ON/SPARK0/Qwen/Qwen3.5-9B	/ABS/PATH/ON/SPARK0/z-lab/Qwen3.5-9B-DFlash			

# Base Qwen 27B ladder (run target-only first, then the exact paired drafter).
qwen35-27b	qwen_target	qwen_dflash	Qwen/Qwen3.5-27B	/ABS/PATH/ON/SPARK0/Qwen/Qwen3.5-27B	/ABS/PATH/ON/SPARK0/z-lab/Qwen3.5-27B-DFlash			
qwen36-27b	qwen_target	qwen_dflash	Qwen/Qwen3.6-27B	/ABS/PATH/ON/SPARK0/Qwen/Qwen3.6-27B	/ABS/PATH/ON/SPARK0/z-lab/Qwen3.6-27B-DFlash			

# A3B ladder (keep separate quality/speed scoring from DeepSeek V4 Flash).
qwen3-coder-30b-a3b	qwen_target	qwen_dflash	Qwen/Qwen3-Coder-30B-A3B-Instruct-FP8	/ABS/PATH/ON/SPARK0/Qwen/Qwen3-Coder-30B-A3B-Instruct-FP8	/ABS/PATH/ON/SPARK0/z-lab/Qwen3-Coder-30B-A3B-DFlash			
qwen36-35b-a3b	qwen_target	qwen_dflash	Qwen/Qwen3.6-35B-A3B-FP8	/ABS/PATH/ON/SPARK0/Qwen/Qwen3.6-35B-A3B-FP8	/ABS/PATH/ON/SPARK0/z-lab/Qwen3.6-35B-A3B-DFlash			
